pair	sample_index	target	direction	ref_pred	cmp_pred	ref_conf	cmp_conf	ref_true_prob	cmp_true_prob	true_prob_delta	ref_margin	cmp_margin
2cx_vs_plain	31885	262	improved	283	262	0.4841650724411011	0.9017715454101562	0.2504361867904663	0.9017715454101562	0.6513353586196899	0.6592216491699219	3.8140439987182617
2cx_vs_plain	33403	606	improved	622	606	0.597286581993103	0.789240300655365	0.1513729691505432	0.789240300655365	0.6378673315048218	1.372650146484375	2.846284866333008
2cx_vs_plain	32554	79	improved	308	79	0.6737620830535889	0.753444254398346	0.11681366711854935	0.753444254398346	0.6366305947303772	1.7522969245910645	2.4347829818725586
2cx_vs_plain	34256	696	improved	487	696	0.3750399947166443	0.698512077331543	0.06810050457715988	0.698512077331543	0.6304115653038025	0.821014404296875	1.8874406814575195
2cx_vs_plain	47250	483	regressed	483	972	0.7361853122711182	0.153887540102005	0.7361853122711182	0.11636020243167877	-0.6198251247406006	4.385272026062012	0.27953147888183594
2cx_vs_plain	38779	700	regressed	700	731	0.7776539325714111	0.23361057043075562	0.7776539325714111	0.16836780309677124	-0.6092861294746399	2.578817367553711	0.32750463485717773
2cx_vs_plain	7421	79	regressed	79	316	0.6315271258354187	0.19575536251068115	0.6315271258354187	0.032261695712804794	-0.599265456199646	2.168120861053467	1.2243881225585938
2cx_vs_plain	29388	337	improved	342	337	0.23010453581809998	0.7363707423210144	0.14507827162742615	0.7363707423210144	0.5912925004959106	0.3056650161743164	2.5697569847106934
2cx_vs_plain	45466	593	regressed	593	878	0.8786948323249817	0.30379852652549744	0.8786948323249817	0.2908376157283783	-0.5878572463989258	3.8937277793884277	0.043599605560302734
2cx_vs_plain	22481	367	regressed	367	369	0.7435623407363892	0.6348447799682617	0.7435623407363892	0.16443787515163422	-0.5791244506835938	1.7111763954162598	1.3508477210998535
2cx_vs_plain	46262	39	improved	380	39	0.17788414657115936	0.6651194095611572	0.09055633097887039	0.6651194095611572	0.5745630860328674	0.6751604080200195	3.35109281539917
2cx_vs_plain	41591	478	regressed	478	674	0.7230328321456909	0.25340506434440613	0.7230328321456909	0.1602735072374344	-0.5627593398094177	2.8228702545166016	0.45810747146606445
2cx_vs_plain	40074	188	improved	850	188	0.8404117822647095	0.5980810523033142	0.04096902534365654	0.5980810523033142	0.5571120381355286	3.02107572555542	1.9784555435180664
2cx_vs_plain	22848	311	improved	66	311	0.2900964319705963	0.7363119721412659	0.17994153499603271	0.7363119721412659	0.5563704371452332	0.4775815010070801	2.127784252166748
2cx_vs_plain	43384	775	improved	794	775	0.34591376781463623	0.8761593699455261	0.32243970036506653	0.8761593699455261	0.5537196397781372	0.07027339935302734	3.899054527282715
2cx_vs_plain	40125	20	improved	137	20	0.47265082597732544	0.7245568633079529	0.18838253617286682	0.7245568633079529	0.5361742973327637	0.9198822975158691	2.236363410949707
2cx_vs_plain	22868	542	improved	696	542	0.8771209120750427	0.5968993306159973	0.06673747301101685	0.5968993306159973	0.5301618576049805	2.575878143310547	0.6430778503417969
