timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original10to60_80.7240	delta_vs_original10to110_80.7520	delta_vs_dynamic10to110_80.7600	delta_vs_late10to210_80.8280	status
2026-07-14T09:28:15Z	checkpoint-22	0.8882	79.5980	95.0800	50000	-1.0000	-1.0840	-1.1260	-1.1540	-1.1620	-1.2300	below_baseline
2026-07-14T09:28:15Z	checkpoint-23	0.8714	79.5480	95.0140	50000	-1.0500	-1.1340	-1.1760	-1.2040	-1.2120	-1.2800	below_baseline
2026-07-14T09:28:15Z	checkpoint-24	0.8824	79.6140	94.9840	50000	-0.9840	-1.0680	-1.1100	-1.1380	-1.1460	-1.2140	below_baseline
2026-07-14T09:28:15Z	checkpoint-25	0.8785	79.5540	95.0520	50000	-1.0440	-1.1280	-1.1700	-1.1980	-1.2060	-1.2740	below_baseline
2026-07-14T09:28:15Z	checkpoint-26	0.8805	79.5840	95.0760	50000	-1.0140	-1.0980	-1.1400	-1.1680	-1.1760	-1.2440	below_baseline
2026-07-14T09:28:15Z	checkpoint-27	0.8737	79.6100	95.0740	50000	-0.9880	-1.0720	-1.1140	-1.1420	-1.1500	-1.2180	below_baseline
2026-07-14T09:28:15Z	checkpoint-28	0.8712	79.6820	95.1060	50000	-0.9160	-1.0000	-1.0420	-1.0700	-1.0780	-1.1460	below_baseline
2026-07-14T09:28:15Z	checkpoint-29	0.8771	79.8120	95.1060	50000	-0.7860	-0.8700	-0.9120	-0.9400	-0.9480	-1.0160	below_baseline
2026-07-14T09:28:15Z	checkpoint-30	0.8680	79.7400	95.0860	50000	-0.8580	-0.9420	-0.9840	-1.0120	-1.0200	-1.0880	below_baseline
2026-07-14T09:28:15Z	checkpoint-31	0.8698	79.7980	95.0560	50000	-0.8000	-0.8840	-0.9260	-0.9540	-0.9620	-1.0300	below_baseline
2026-07-14T09:28:15Z	checkpoint-32	0.8763	79.7420	95.1080	50000	-0.8560	-0.9400	-0.9820	-1.0100	-1.0180	-1.0860	below_baseline
2026-07-14T09:28:15Z	checkpoint-33	0.8628	79.9140	95.0900	50000	-0.6840	-0.7680	-0.8100	-0.8380	-0.8460	-0.9140	below_baseline
2026-07-14T09:28:15Z	checkpoint-34	0.8657	79.8780	95.0960	50000	-0.7200	-0.8040	-0.8460	-0.8740	-0.8820	-0.9500	below_baseline
2026-07-14T09:28:15Z	checkpoint-35	0.8548	79.9420	95.1520	50000	-0.6560	-0.7400	-0.7820	-0.8100	-0.8180	-0.8860	below_baseline
2026-07-14T09:28:15Z	checkpoint-36	0.8652	79.9300	95.1580	50000	-0.6680	-0.7520	-0.7940	-0.8220	-0.8300	-0.8980	below_baseline
2026-07-14T09:28:15Z	checkpoint-37	0.8620	79.9640	95.2060	50000	-0.6340	-0.7180	-0.7600	-0.7880	-0.7960	-0.8640	below_baseline
2026-07-14T09:28:15Z	checkpoint-38	0.8580	80.0900	95.1500	50000	-0.5080	-0.5920	-0.6340	-0.6620	-0.6700	-0.7380	below_baseline
2026-07-14T09:28:15Z	checkpoint-39	0.8563	79.9640	95.2480	50000	-0.6340	-0.7180	-0.7600	-0.7880	-0.7960	-0.8640	below_baseline
2026-07-14T09:28:15Z	checkpoint-40	0.8573	79.9620	95.2240	50000	-0.6360	-0.7200	-0.7620	-0.7900	-0.7980	-0.8660	below_baseline
2026-07-14T09:28:15Z	checkpoint-41	0.8557	80.0840	95.2360	50000	-0.5140	-0.5980	-0.6400	-0.6680	-0.6760	-0.7440	below_baseline
2026-07-14T09:28:15Z	checkpoint-42	0.8633	80.0740	95.2280	50000	-0.5240	-0.6080	-0.6500	-0.6780	-0.6860	-0.7540	below_baseline
2026-07-14T09:28:15Z	checkpoint-43	0.8603	80.1000	95.1340	50000	-0.4980	-0.5820	-0.6240	-0.6520	-0.6600	-0.7280	below_baseline
2026-07-14T09:28:15Z	checkpoint-44	0.8522	80.0540	95.2660	50000	-0.5440	-0.6280	-0.6700	-0.6980	-0.7060	-0.7740	below_baseline
2026-07-14T09:28:15Z	checkpoint-45	0.8468	80.1800	95.2760	50000	-0.4180	-0.5020	-0.5440	-0.5720	-0.5800	-0.6480	below_baseline
2026-07-14T09:28:15Z	checkpoint-46	0.8595	80.1180	95.2260	50000	-0.4800	-0.5640	-0.6060	-0.6340	-0.6420	-0.7100	below_baseline
2026-07-14T09:28:15Z	checkpoint-47	0.8509	80.1800	95.3040	50000	-0.4180	-0.5020	-0.5440	-0.5720	-0.5800	-0.6480	below_baseline
2026-07-14T09:28:15Z	checkpoint-48	0.8608	80.1620	95.2260	50000	-0.4360	-0.5200	-0.5620	-0.5900	-0.5980	-0.6660	below_baseline
2026-07-14T09:28:15Z	checkpoint-49	0.8494	80.1400	95.2080	50000	-0.4580	-0.5420	-0.5840	-0.6120	-0.6200	-0.6880	below_baseline
2026-07-14T09:28:15Z	checkpoint-50	0.8478	80.1300	95.3160	50000	-0.4680	-0.5520	-0.5940	-0.6220	-0.6300	-0.6980	below_baseline
2026-07-14T09:28:15Z	checkpoint-51	0.8486	80.2140	95.3500	50000	-0.3840	-0.4680	-0.5100	-0.5380	-0.5460	-0.6140	below_baseline
2026-07-14T09:28:15Z	checkpoint-52	0.8501	80.3180	95.2800	50000	-0.2800	-0.3640	-0.4060	-0.4340	-0.4420	-0.5100	below_baseline
2026-07-14T09:28:15Z	checkpoint-53	0.8489	80.2280	95.3780	50000	-0.3700	-0.4540	-0.4960	-0.5240	-0.5320	-0.6000	below_baseline
2026-07-14T09:28:15Z	checkpoint-54	0.8453	80.1920	95.2840	50000	-0.4060	-0.4900	-0.5320	-0.5600	-0.5680	-0.6360	below_baseline
2026-07-14T09:28:15Z	checkpoint-55	0.8467	80.2120	95.2620	50000	-0.3860	-0.4700	-0.5120	-0.5400	-0.5480	-0.6160	below_baseline
2026-07-14T09:28:15Z	checkpoint-56	0.8432	80.4040	95.3180	50000	-0.1940	-0.2780	-0.3200	-0.3480	-0.3560	-0.4240	below_baseline
2026-07-14T09:28:15Z	checkpoint-57	0.8461	80.3200	95.2600	50000	-0.2780	-0.3620	-0.4040	-0.4320	-0.4400	-0.5080	below_baseline
2026-07-14T09:28:15Z	checkpoint-58	0.8427	80.3560	95.2720	50000	-0.2420	-0.3260	-0.3680	-0.3960	-0.4040	-0.4720	below_baseline
2026-07-14T09:28:15Z	checkpoint-59	0.8494	80.2480	95.2560	50000	-0.3500	-0.4340	-0.4760	-0.5040	-0.5120	-0.5800	below_baseline
2026-07-14T09:28:15Z	checkpoint-60	0.8424	80.4480	95.4260	50000	-0.1500	-0.2340	-0.2760	-0.3040	-0.3120	-0.3800	below_baseline
2026-07-14T09:28:15Z	checkpoint-61	0.8403	80.4040	95.3580	50000	-0.1940	-0.2780	-0.3200	-0.3480	-0.3560	-0.4240	below_baseline
2026-07-14T09:28:15Z	checkpoint-62	0.8396	80.4700	95.3760	50000	-0.1280	-0.2120	-0.2540	-0.2820	-0.2900	-0.3580	below_baseline
2026-07-14T09:28:15Z	checkpoint-63	0.8377	80.3920	95.3760	50000	-0.2060	-0.2900	-0.3320	-0.3600	-0.3680	-0.4360	below_baseline
2026-07-14T09:28:15Z	checkpoint-64	0.8404	80.3500	95.3480	50000	-0.2480	-0.3320	-0.3740	-0.4020	-0.4100	-0.4780	below_baseline
2026-07-14T09:28:15Z	checkpoint-65	0.8378	80.3780	95.3300	50000	-0.2200	-0.3040	-0.3460	-0.3740	-0.3820	-0.4500	below_baseline
2026-07-14T09:28:15Z	checkpoint-66	0.8343	80.4640	95.3880	50000	-0.1340	-0.2180	-0.2600	-0.2880	-0.2960	-0.3640	below_baseline
2026-07-14T09:28:15Z	checkpoint-67	0.8323	80.4900	95.3480	50000	-0.1080	-0.1920	-0.2340	-0.2620	-0.2700	-0.3380	below_baseline
2026-07-14T09:28:15Z	checkpoint-68	0.8315	80.5660	95.3920	50000	-0.0320	-0.1160	-0.1580	-0.1860	-0.1940	-0.2620	below_baseline
2026-07-14T09:28:15Z	checkpoint-69	0.8431	80.5640	95.4040	50000	-0.0340	-0.1180	-0.1600	-0.1880	-0.1960	-0.2640	below_baseline
2026-07-14T09:28:15Z	checkpoint-70	0.8306	80.5520	95.4120	50000	-0.0460	-0.1300	-0.1720	-0.2000	-0.2080	-0.2760	below_baseline
2026-07-14T09:28:15Z	checkpoint-71	0.8339	80.5720	95.3720	50000	-0.0260	-0.1100	-0.1520	-0.1800	-0.1880	-0.2560	below_baseline
2026-07-14T09:28:15Z	checkpoint-72	0.8357	80.5320	95.3760	50000	-0.0660	-0.1500	-0.1920	-0.2200	-0.2280	-0.2960	below_baseline
2026-07-14T09:28:15Z	checkpoint-73	0.8338	80.4880	95.4120	50000	-0.1100	-0.1940	-0.2360	-0.2640	-0.2720	-0.3400	below_baseline
2026-07-14T09:28:15Z	checkpoint-74	0.8353	80.4840	95.3820	50000	-0.1140	-0.1980	-0.2400	-0.2680	-0.2760	-0.3440	below_baseline
2026-07-14T09:28:15Z	checkpoint-75	0.8373	80.5280	95.4420	50000	-0.0700	-0.1540	-0.1960	-0.2240	-0.2320	-0.3000	below_baseline
2026-07-14T09:28:15Z	checkpoint-76	0.8369	80.6340	95.3640	50000	0.0360	-0.0480	-0.0900	-0.1180	-0.1260	-0.1940	above_baseline
2026-07-14T09:28:15Z	checkpoint-77	0.8324	80.5880	95.4240	50000	-0.0100	-0.0940	-0.1360	-0.1640	-0.1720	-0.2400	below_baseline
2026-07-14T09:28:15Z	checkpoint-78	0.8392	80.5620	95.4000	50000	-0.0360	-0.1200	-0.1620	-0.1900	-0.1980	-0.2660	below_baseline
2026-07-14T09:28:15Z	checkpoint-79	0.8278	80.5340	95.3940	50000	-0.0640	-0.1480	-0.1900	-0.2180	-0.2260	-0.2940	below_baseline
2026-07-14T09:28:15Z	checkpoint-80	0.8298	80.6500	95.4240	50000	0.0520	-0.0320	-0.0740	-0.1020	-0.1100	-0.1780	above_baseline
2026-07-14T09:28:15Z	checkpoint-81	0.8332	80.6000	95.4160	50000	0.0020	-0.0820	-0.1240	-0.1520	-0.1600	-0.2280	above_baseline
2026-07-14T09:28:15Z	checkpoint-82	0.8279	80.5840	95.4180	50000	-0.0140	-0.0980	-0.1400	-0.1680	-0.1760	-0.2440	below_baseline
2026-07-14T09:28:15Z	checkpoint-83	0.8286	80.6900	95.4920	50000	0.0920	0.0080	-0.0340	-0.0620	-0.0700	-0.1380	above_scheme_c
2026-07-14T09:28:15Z	checkpoint-84	0.8258	80.6800	95.4620	50000	0.0820	-0.0020	-0.0440	-0.0720	-0.0800	-0.1480	above_baseline
2026-07-14T09:28:15Z	checkpoint-85	0.8309	80.5520	95.5160	50000	-0.0460	-0.1300	-0.1720	-0.2000	-0.2080	-0.2760	below_baseline
2026-07-14T09:28:15Z	checkpoint-86	0.8263	80.7120	95.4860	50000	0.1140	0.0300	-0.0120	-0.0400	-0.0480	-0.1160	above_scheme_c
2026-07-14T09:28:15Z	checkpoint-87	0.8293	80.6640	95.4520	50000	0.0660	-0.0180	-0.0600	-0.0880	-0.0960	-0.1640	above_baseline
2026-07-14T09:28:15Z	checkpoint-88	0.8307	80.7220	95.4020	50000	0.1240	0.0400	-0.0020	-0.0300	-0.0380	-0.1060	above_scheme_c
2026-07-14T09:28:15Z	checkpoint-89	0.8259	80.7240	95.4340	50000	0.1260	0.0420	0.0000	-0.0280	-0.0360	-0.1040	above_scheme_c
2026-07-14T09:28:15Z	checkpoint-90	0.8281	80.6860	95.4500	50000	0.0880	0.0040	-0.0380	-0.0660	-0.0740	-0.1420	above_scheme_c
2026-07-14T09:28:15Z	checkpoint-91	0.8236	80.6780	95.4340	50000	0.0800	-0.0040	-0.0460	-0.0740	-0.0820	-0.1500	above_baseline
2026-07-14T09:28:15Z	checkpoint-92	0.8251	80.7160	95.4880	50000	0.1180	0.0340	-0.0080	-0.0360	-0.0440	-0.1120	above_scheme_c
2026-07-14T09:28:15Z	checkpoint-93	0.8261	80.6860	95.4660	50000	0.0880	0.0040	-0.0380	-0.0660	-0.0740	-0.1420	above_scheme_c
2026-07-14T09:28:15Z	checkpoint-94	0.8269	80.7640	95.4760	50000	0.1660	0.0820	0.0400	0.0120	0.0040	-0.0640	above_dynamic10to110_best
2026-07-14T09:28:15Z	checkpoint-95	0.8254	80.7520	95.4800	50000	0.1540	0.0700	0.0280	0.0000	-0.0080	-0.0760	above_original10to60_best
2026-07-14T09:28:15Z	checkpoint-96	0.8238	80.7400	95.5600	50000	0.1420	0.0580	0.0160	-0.0120	-0.0200	-0.0880	above_original10to60_best
2026-07-14T09:28:15Z	checkpoint-97	0.8202	80.7500	95.4420	50000	0.1520	0.0680	0.0260	-0.0020	-0.0100	-0.0780	above_original10to60_best
2026-07-14T09:28:15Z	checkpoint-98	0.8247	80.7040	95.4960	50000	0.1060	0.0220	-0.0200	-0.0480	-0.0560	-0.1240	above_scheme_c
2026-07-14T09:28:15Z	checkpoint-99	0.8242	80.7540	95.4780	50000	0.1560	0.0720	0.0300	0.0020	-0.0060	-0.0740	above_original10to110_best
2026-07-14T09:28:15Z	checkpoint-100	0.8213	80.7720	95.4320	50000	0.1740	0.0900	0.0480	0.0200	0.0120	-0.0560	above_dynamic10to110_best
