pair	sample_index	target	direction	ref_pred	cmp_pred	ref_conf	cmp_conf	ref_true_prob	cmp_true_prob	true_prob_delta	ref_margin	cmp_margin
best250_vs_phase2w	42791	848	improved	732	848	0.44187337160110474	0.4010550081729889	0.1405823677778244	0.4010550081729889	0.2604726552963257	1.1452298164367676	1.0735201835632324
best250_vs_phase2w	31230	602	regressed	602	678	0.40944990515708923	0.3508441150188446	0.40944990515708923	0.1764475703239441	-0.23300233483314514	0.4376816749572754	0.6873183250427246
best250_vs_phase2w	44445	279	regressed	279	258	0.5640773177146912	0.46306031942367554	0.5640773177146912	0.34153857827186584	-0.22253873944282532	0.7581038475036621	0.3043966293334961
best250_vs_phase2w	21129	831	improved	721	831	0.6396306753158569	0.5040768980979919	0.2945941388607025	0.5040768980979919	0.20948275923728943	0.7752923965454102	0.16220760345458984
best250_vs_phase2w	1317	218	regressed	218	156	0.5399098992347717	0.38816121220588684	0.5399098992347717	0.3487304449081421	-0.19117945432662964	0.8616280555725098	0.10712146759033203
best250_vs_phase2w	15670	641	improved	522	641	0.4264715313911438	0.5107693076133728	0.3202446401119232	0.5107693076133728	0.19052466750144958	0.28646039962768555	0.6510400772094727
best250_vs_phase2w	27345	312	improved	316	312	0.3110157549381256	0.4722082018852234	0.28243356943130493	0.4722082018852234	0.18977463245391846	0.09640026092529297	1.403599739074707
best250_vs_phase2w	26641	536	improved	484	536	0.5973216891288757	0.4704742729663849	0.2928999960422516	0.4704742729663849	0.1775742769241333	0.7126245498657227	0.09987545013427734
best250_vs_phase2w	8555	996	improved	991	996	0.4899904429912567	0.5719496011734009	0.39911460876464844	0.5719496011734009	0.17283499240875244	0.2051372528076172	0.6698627471923828
best250_vs_phase2w	45105	802	regressed	802	701	0.37367480993270874	0.3344604969024658	0.37367480993270874	0.20659595727920532	-0.16707885265350342	0.4557461738586426	0.4817538261413574
best250_vs_phase2w	2302	3	regressed	3	4	0.45060282945632935	0.5968655943870544	0.45060282945632935	0.2835761606693268	-0.16702666878700256	0.06828880310058594	0.7442111968994141
best250_vs_phase2w	18198	558	improved	513	558	0.18877774477005005	0.34172600507736206	0.1753987818956375	0.34172600507736206	0.16632722318172455	0.07350826263427734	1.3952417373657227
best250_vs_phase2w	8504	848	improved	713	848	0.33420664072036743	0.42351067066192627	0.2586752772331238	0.42351067066192627	0.1648353934288025	0.25618600845336914	1.087564468383789
best250_vs_phase2w	32920	963	improved	957	963	0.14273889362812042	0.29044800996780396	0.1290901154279709	0.29044800996780396	0.16135789453983307	0.10050630569458008	0.8994936943054199
best250_vs_phase2w	19942	245	regressed	245	242	0.48849067091941833	0.5355802178382874	0.48849067091941833	0.3284841775894165	-0.16000649333000183	0.2611379623413086	0.4888620376586914
